id,VendorName,NonProfitPrivate,WebsiteAddress,Description,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
121,Fei Yue Community Service (Student Care Centre (Bukit Batok)),Non-Profit,http://www.fycs.org/index.cfm?GPID=26,Fei Yue Student Care Centre provides before-and-after school care services for primary school children (7-12 years) with no alternative childcare arrangements at home.,"Supervise & coach students with their studies
Organise school holiday programmes where necessary",Weekdays,Fexible hours during weekdays,If confident of your academic ability and love to work with children,$0 ,Student Care Centre (Bukit Batok),Blk 186 Bukit Batok West Ave 6,#01-181,Singapore 650186,Not Provided,South West,karenwoo@fycs.org,6569 1447
122,Fei Yue Community Service (Student Care Centre (Choa Chu Kang)),Non-Profit,http://www.fycs.org/index.cfm?GPID=26,Fei Yue Student Care Centre provides before-and-after school care services for primary school children (7-12 years) with no alternative childcare arrangements at home.,"Supervise & coach students with their studies
Organise school holiday programmes where necessary",Weekdays,Fexible hours during weekdays,If confident of your academic ability and love to work with children,$0 ,Student Care Centre (Choa Chu Kang),Blk 6 Teck Whye Ave,#01-110,Singapore 680006,Not Provided,South West,helenchua@fycs.org,6762 7321
123,Fei Yue Community Service (Student Care Centre (Sembawang)),Non-Profit,http://www.fycs.org/index.cfm?GPID=26,Fei Yue Student Care Centre provides before-and-after school care services for primary school children (7-12 years) with no alternative childcare arrangements at home.,"Supervise & coach students with their studies
Organise school holiday programmes where necessary",Weekdays,Fexible hours during weekdays,If confident of your academic ability and love to work with children,$0 ,Student Care Centre (Sembawang),"Sembawang Primary School, 10 Sembawang Drive, Blk D-01-01",,Singapore 757715,Not Provided,North West,karenwoo@fycs.org,6483 9928
124,Fei Yue Community Services Neighbourhood Link,Non-Profit ,http://www.fycs.org/,"The aims of a Neighbourhood Link is to establish a local network of support and an active volunteer movement at the neighbourhood level to promote self-worth and a sense of community belonging among residents. It also serves as the point for information dissemination and referral as well as a local hub for inter-generational activities.
","Basic Computer Class
English Conversational Class
Basic Chinese Chess Class
Basic English Class",Depends on programmes,Depends on programmes,NA,<$100,Fei Yue Community Services Neighbourhood Link,Blk 183 Bukit Batok West Ave 8,#01-101,Singapore 650183,"Monday to Friday, 9am to 6pm
Saturday, 9am to 1pm",South West,estheryek@fycs.org ,65614404Ê
125,Fei Yue Community Services Neighbourhood Link,Non-Profit ,http://www.fycs.org/,"The aims of a Neighbourhood Link is to establish a local network of support and an active volunteer movement at the neighbourhood level to promote self-worth and a sense of community belonging among residents. It also serves as the point for information dissemination and referral as well as a local hub for inter-generational activities.
","Cantonese Singing Class, Handicrafts, Health & Fitness Corner",Depends on programmes,Depends on programmes,NA,<$100,Fei Yue Community Services Neighbourhood Link,Blk 183 Bukit Batok West Ave 8,#01-101,Singapore 650183,"Monday to Friday, 9am to 6pm
Saturday, 9am to 1pm",South West,estheryek@fycs.org ,65614404Ê
126,Fei Yue Community Services Neighbourhood Link,Non-Profit ,http://www.fycs.org/,"The aims of a Neighbourhood Link is to establish a local network of support and an active volunteer movement at the neighbourhood level to promote self-worth and a sense of community belonging among residents. It also serves as the point for information dissemination and referral as well as a local hub for inter-generational activities.
","Organise and manage activities for the elderly.
Help out in cleaning / maintenance and repair.
Befriend the elderly.",Depends on programmes,Depends on programmes,NA,$0 ,Fei Yue Community Services Neighbourhood Link,Blk 183 Bukit Batok West Ave 8,#01-101,Singapore 650183,"Monday to Friday, 9am to 6pm
Saturday, 9am to 1pm",South West,estheryek@fycs.org ,65614404Ê
127,Fei Yue Community Services (Seniors Activity Centre (Holland Close)),Non-Profit ,http://www.fycs.org/,"Our Seniors Activity Centres target vulnerable seniors residing in 1-room rental units at Holland (from block 1 Holland Close), 2-room rental units (from blocks 103, 104, 106 and 107 of Commonwealth Crescent), and block 9 at Teck Whye Lane. The programmes and services provided aim to improve their quality of life and to prevent social isolation. ","Outings, Singing, Interactive games",Moday to Friday,Depends on programmes,For residents of the above-mentioned blocks,$0 ,Seniors Activity Centre (Holland Close),Blk 1 Holland Close ,#02-115,Singapore 271001,"Monday to Friday, 9.30am to 6pm, Thursday, 9.30am to 8.30pm (Holland Close)
",Central,bryanlim@fycs.org,6774 4044
128,Fei Yue Community Services (Seniors Activity Centre (Holland Close)),Non-Profit ,http://www.fycs.org/,"Our Seniors Activity Centres target vulnerable seniors residing in 1-room rental units at Holland (from block 1 Holland Close), 2-room rental units (from blocks 103, 104, 106 and 107 of Commonwealth Crescent), and block 9 at Teck Whye Lane. The programmes and services provided aim to improve their quality of life and to prevent social isolation. ",,"Once per week, 4 sessions","average 4 sessions , depending on what elderly can learn",For residents of the above-mentioned blocks,$0 ,Seniors Activity Centre (Holland Close),Blk 1 Holland Close ,#02-115,Singapore 271001,"Monday to Friday, 9.30am to 6pm, Thursday, 9.30am to 8.30pm (Holland Close)
",Central,bryanlim@fycs.org,6774 4044
129,Fei Yue Community Services (Seniors Activity Centre (Teck Whye)),Non-Profit ,http://www.fycs.org/,"Our Seniors Activity Centres target vulnerable seniors residing in 1-room rental units at Holland (from block 1 Holland Close), 2-room rental units (from blocks 103, 104, 106 and 107 of Commonwealth Crescent), and block 9 at Teck Whye Lane. The programmes and services provided aim to improve their quality of life and to prevent social isolation. ","Outings, Singing, Interactive games",Depends on programmes,1hour,For residents of the above-mentioned blocks,$0 ,Seniors Activity Centre (Teck Whye),Blk 9 Teck Whye Lane,#01-268,Singapore 680009,"Monday to Friday, 9.30am to 6pm,
Tuesday, 9.30am to 8.30pm",South West,davidkoh@fycs.org ,6893 6606
130,Fei Yue Community Services (Seniors Activity Centre (Teck Whye)),Non-Profit ,http://www.fycs.org/,"Our Seniors Activity Centres target vulnerable seniors residing in 1-room rental units at Holland (from block 1 Holland Close), 2-room rental units (from blocks 103, 104, 106 and 107 of Commonwealth Crescent), and block 9 at Teck Whye Lane. The programmes and services provided aim to improve their quality of life and to prevent social isolation. ",Computer Class,"Once per week, 4 sessions","average 4 sessions , depending on what elderly can learn",For residents of the above-mentioned blocks,$0 ,Seniors Activity Centre (Teck Whye),Blk 9 Teck Whye Lane,#01-268,Singapore 680009,"Monday to Friday, 9.30am to 6pm,
Tuesday, 9.30am to 8.30pm",South West,davidkoh@fycs.org ,6893 6606
