id,VendorName,NonProfitPrivate,WebsiteAddress,Description,Category,KeyProgramme,FrequencyProgrammes,DurationProgramme,EligibilityCriteria, Price ,Location,Address,Address2,PostalCode,OperatingHours,District,Email,ContactNo
61,Movement for the Intellectually Disabled of Singapore (MINDS) (Ang Mo Kio Training & Development Centre),Non-Profit ,http://www.minds.org.sg,"Movement for the Intellectually Disabled of Singapore (MINDS) was founded in May 1962 under the name of Singapore Association for Retarded Children (SARC). A group of philanthropists saw the need to provide equal opportunities for children with intellectual disabilities to receive education and later, to be integrated as contributing and responsible citizens in Singapore.

The Singapore Rotary Club gave the first donation to pilot the project under the Singapore Children’s Society and the first ‘Chin Pu’ (meaning progress in Chinese) school was set up in a single room in Towner Road with 26 children.

‘Chin Pu’ centres mushroomed around the island in whatever premises that were available – churches, disused schools, etc. In 1985, SARC was renamed MINDS to encompass the services provided not only for children, but adults and the aged persons with intellectual disability.

Since then, MINDS has grown to be one of the largest Voluntary Welfare Organisations in Singapore, serving some 2,400 clients from past the age of six to their ripe old age. MINDS’ services include four special schools, three employment development centres, three day training and development centres, and one multi-service residential home.

MINDS’ Chinese name is ????????????.

 ",Volunteering Opportunities,Befriending. Offering Hair cutting service. Organise outings for seniors.,Depends on the volunteers,Depends on the volunteers,18 years and above,$0 ,MINDS - Ang Mo Kio Training & Development Centre,"Blk 134, Ang Mo Kio Ave 3, Street 12",#01-1677,Singapore 560134,"Mondays to Fridays, 9.00am to 4.30pm  ",Central,atdc@minds.org.sg,6456 4174
62,Movement for the Intellectually Disabled of Singapore (MINDS) (Clementi Training & Development Centre),Non-Profit ,http://www.minds.org.sg,"Movement for the Intellectually Disabled of Singapore (MINDS) was founded in May 1962 under the name of Singapore Association for Retarded Children (SARC). A group of philanthropists saw the need to provide equal opportunities for children with intellectual disabilities to receive education and later, to be integrated as contributing and responsible citizens in Singapore.

The Singapore Rotary Club gave the first donation to pilot the project under the Singapore Children’s Society and the first ‘Chin Pu’ (meaning progress in Chinese) school was set up in a single room in Towner Road with 26 children.

‘Chin Pu’ centres mushroomed around the island in whatever premises that were available – churches, disused schools, etc. In 1985, SARC was renamed MINDS to encompass the services provided not only for children, but adults and the aged persons with intellectual disability.

Since then, MINDS has grown to be one of the largest Voluntary Welfare Organisations in Singapore, serving some 2,400 clients from past the age of six to their ripe old age. MINDS’ services include four special schools, three employment development centres, three day training and development centres, and one multi-service residential home.

MINDS’ Chinese name is ????????????.

 ",Volunteering Opportunities,"Tutors on art, music and swimming.",Weekly,Depends on the volunteers,18 years and above,$0 ,MINDS - Clementi Training & Development Centre,"Blk 304, Clementi Ave 4",#01-487,Singapore 120304,"Mondays to Fridays, 9.00am to 4.30pm  ",North West,ctdc@minds.org.sg,6776 8743
63,Movement for the Intellectually Disabled of Singapore (MINDS) (Napiri Training & Development Centre ),Non-Profit ,http://www.minds.org.sg,"Movement for the Intellectually Disabled of Singapore (MINDS) was founded in May 1962 under the name of Singapore Association for Retarded Children (SARC). A group of philanthropists saw the need to provide equal opportunities for children with intellectual disabilities to receive education and later, to be integrated as contributing and responsible citizens in Singapore.

The Singapore Rotary Club gave the first donation to pilot the project under the Singapore Children’s Society and the first ‘Chin Pu’ (meaning progress in Chinese) school was set up in a single room in Towner Road with 26 children.

‘Chin Pu’ centres mushroomed around the island in whatever premises that were available – churches, disused schools, etc. In 1985, SARC was renamed MINDS to encompass the services provided not only for children, but adults and the aged persons with intellectual disability.

Since then, MINDS has grown to be one of the largest Voluntary Welfare Organisations in Singapore, serving some 2,400 clients from past the age of six to their ripe old age. MINDS’ services include four special schools, three employment development centres, three day training and development centres, and one multi-service residential home.

MINDS’ Chinese name is ????????????.

 ",Volunteering Opportunities,"Tutors on art, music and swimming.",Weekly,Depends on the volunteers,18 years and above,$0 ,MINDS - Napiri Training & Development Centre ,7 Lorong Napiri,,Singapore 547533,"Mondays to Fridays, 9.00am to 4.30pm  ",North West,ntdc@minds.org.sg,6387 7662
64,Movement for the Intellectually Disabled of Singapore (MINDS) (Tampines Training & Development Centre),Non-Profit ,http://www.minds.org.sg,"Movement for the Intellectually Disabled of Singapore (MINDS) was founded in May 1962 under the name of Singapore Association for Retarded Children (SARC). A group of philanthropists saw the need to provide equal opportunities for children with intellectual disabilities to receive education and later, to be integrated as contributing and responsible citizens in Singapore.

The Singapore Rotary Club gave the first donation to pilot the project under the Singapore Children’s Society and the first ‘Chin Pu’ (meaning progress in Chinese) school was set up in a single room in Towner Road with 26 children.

‘Chin Pu’ centres mushroomed around the island in whatever premises that were available – churches, disused schools, etc. In 1985, SARC was renamed MINDS to encompass the services provided not only for children, but adults and the aged persons with intellectual disability.

Since then, MINDS has grown to be one of the largest Voluntary Welfare Organisations in Singapore, serving some 2,400 clients from past the age of six to their ripe old age. MINDS’ services include four special schools, three employment development centres, three day training and development centres, and one multi-service residential home.

MINDS’ Chinese name is ????????????.

 ",Volunteering Opportunities,"Tutors on art, music and swimming.",Weekly,Depends on the volunteers,18 years and above,$0 ,MINDS - Tampines Training & Development Centre ,"Blk 267, Tampines Street 21",#01-09,Singapore 520267,"Mondays to Fridays, 9.00am to 4.30pm  ",North West,ttdc@minds.org.sg,6260 5886
65,Mobility Aids Services & Training Centre (Kampung Senang Activity Centre - Tampines NorthEast),Non-Profit ,http://www.kg-senang.org.sg/wheel_of_hope/index.htm,"Mobility Aids Services & Training Centre is a project of Kampung Seanang, to provide a wide range of services and supports to the physically disabled and the less fortunate in our society.

One of our main roles is to collect, repair, re-use and recycle any used and unwanted mobility equipment, so that these refurbished mobility aids equipment can then be re-distributed and free loan to those service users who need them.

We are greatly inspired to provide training to volunteers and caregivers who are keen on mobility aids repair and maintenance, Wheelchair handling, Befriending with the elderly and physically disabled, etc.

Education on recycling plays an important role to save our earth and ourselves, thus it is also our mission to create awareness and to educate the public on recycling and waste reduction.

We work closely with all the hospitals' social with department tp provide recycled mobility aids and equipment to ensure that most of the needy can benefit from our services.",Volunteering Opportunities,Befriending with elderly. Refurbished mobility aid equipments for free loan to beneficiaries.,Depends on availability of centre,Depends,At least 6 months,$0 ,Kampung Senang Activity Centre - Tampines NorthEast ,"Blk 840, Tampines Street 82",#01-111,Singapore 520840,Not Provided,South East,dorcashome@pcs.org.sg,6785 2568
66,Mobility Aids Services & Training Centre (Mobility Aids Services & Training Centre -Kampung Senang Tampines East),Non-Profit ,http://www.kg-senang.org.sg/wheel_of_hope/index.htm,"Mobility Aids Services & Training Centre is a project of Kampung Seanang, to provide a wide range of services and supports to the physically disabled and the less fortunate in our society.

One of our main roles is to collect, repair, re-use and recycle any used and unwanted mobility equipment, so that these refurbished mobility aids equipment can then be re-distributed and free loan to those service users who need them.

We are greatly inspired to provide training to volunteers and caregivers who are keen on mobility aids repair and maintenance, Wheelchair handling, Befriending with the elderly and physically disabled, etc.

Education on recycling plays an important role to save our earth and ourselves, thus it is also our mission to create awareness and to educate the public on recycling and waste reduction.

We work closely with all the hospitals' social with department tp provide recycled mobility aids and equipment to ensure that most of the needy can benefit from our services.",Volunteering Opportunities,Befriending with elderly. Refurbished mobility aid equipments for free loan to beneficiaries.,Depends on availability of centre,Depends,At least 6 months,$0 ,Mobility Aids Services & Training Centre -Kampung Senang Tampines East,"Blk 254, Tampines Street 21",#01-464,Singapore 521254 ,Not Provided,South East,dorcashome@pcs.org.sg,6783 0512 (L2L Centre) 6783 9023 (Mobility Aids Services)
67,Mobility Aids Services & Training Centre (Learning to Learn Centre - Kampung Senang Hougang),Non-Profit ,http://www.kg-senang.org.sg/wheel_of_hope/index.htm,"Mobility Aids Services & Training Centre is a project of Kampung Seanang, to provide a wide range of services and supports to the physically disabled and the less fortunate in our society.

One of our main roles is to collect, repair, re-use and recycle any used and unwanted mobility equipment, so that these refurbished mobility aids equipment can then be re-distributed and free loan to those service users who need them.

We are greatly inspired to provide training to volunteers and caregivers who are keen on mobility aids repair and maintenance, Wheelchair handling, Befriending with the elderly and physically disabled, etc.

Education on recycling plays an important role to save our earth and ourselves, thus it is also our mission to create awareness and to educate the public on recycling and waste reduction.

We work closely with all the hospitals' social with department tp provide recycled mobility aids and equipment to ensure that most of the needy can benefit from our services.",Volunteering Opportunities,Befriending with elderly. Refurbished mobility aid equipments for free loan to beneficiaries.,Depends on availability of centre,Depends,At least 6 months,$0 ,Learning to Learn Centre - Kampung Senang Hougang ,"Blk 221, Hougang St 21",#01-90,Singapore 530221,Not Provided,North East,dorcashome@pcs.org.sg,6487 3430
68,Mobility Aids Services & Training Centre (Whole Child Nurture Centre),Non-Profit ,http://www.kg-senang.org.sg/wheel_of_hope/index.htm,"Mobility Aids Services & Training Centre is a project of Kampung Seanang, to provide a wide range of services and supports to the physically disabled and the less fortunate in our society.

One of our main roles is to collect, repair, re-use and recycle any used and unwanted mobility equipment, so that these refurbished mobility aids equipment can then be re-distributed and free loan to those service users who need them.

We are greatly inspired to provide training to volunteers and caregivers who are keen on mobility aids repair and maintenance, Wheelchair handling, Befriending with the elderly and physically disabled, etc.

Education on recycling plays an important role to save our earth and ourselves, thus it is also our mission to create awareness and to educate the public on recycling and waste reduction.

We work closely with all the hospitals' social with department tp provide recycled mobility aids and equipment to ensure that most of the needy can benefit from our services.",Volunteering Opportunities,Befriending with elderly. Refurbished mobility aid equipments for free loan to beneficiaries.,Depends on availability of centre,Depends,At least 6 months,$0 ,Learning to Learn Centre - Kampung Senang Hougang ,"17-J, Jalan Hock Chye, off Hougang Ave 1",,Singapore 538202,Not Provided,North East,dorcashome@pcs.org.sg,6286 4298
69,Mobility Aids Services & Training Centre (Holistic Lifestyle Centre),Non-Profit ,http://www.kg-senang.org.sg/wheel_of_hope/index.htm,"Mobility Aids Services & Training Centre is a project of Kampung Seanang, to provide a wide range of services and supports to the physically disabled and the less fortunate in our society.

One of our main roles is to collect, repair, re-use and recycle any used and unwanted mobility equipment, so that these refurbished mobility aids equipment can then be re-distributed and free loan to those service users who need them.

We are greatly inspired to provide training to volunteers and caregivers who are keen on mobility aids repair and maintenance, Wheelchair handling, Befriending with the elderly and physically disabled, etc.

Education on recycling plays an important role to save our earth and ourselves, thus it is also our mission to create awareness and to educate the public on recycling and waste reduction.

We work closely with all the hospitals' social with department tp provide recycled mobility aids and equipment to ensure that most of the needy can benefit from our services.",Volunteering Opportunities,Befriending with elderly. Refurbished mobility aid equipments for free loan to beneficiaries.,Depends on availability of centre,Depends,At least 6 months,$0 ,Holistic Lifestyle Centre,"Blk 106, Aljunied Crescent",#01-205,Singapore 380106,Not Provided,South East,dorcashome@pcs.org.sg,6749 8509
70,Presbyterian Community Services (Dorcas Home Care Services),Non-Profit ,http://www.pcs.org.sg/,"Dorcas Home Care was established in October 1992. It was jointly set up by the Ministry of Health and PCS, and supported by the National Council of Social Service. We were the first to operate the meals-on-wheels service in Chinatown area. The service was later expanded to include other components of home help service.",Volunteering Opportunities,"Meals Delivery
Housekeeping
Personal Hygiene
Laundry washing
Escort for medical appointments",3 times a week,Minimum half a day,NA,$0 ,DORCAS Home Care Services ,Blk 105 Jalan Bukit Merah ,#02-1912 ,Singapore 160105 ,"Monday – Friday: 9.00am – 5.30pm
Saturday: 9.00am – 1.00pm 
(closed on Sundays and Public Holidays)",Central,dorcashome@pcs.org.sg,6271 2125
